time,STATUS_WORD_1,Q_FUEL_LEAK,Q_STEP_FUEL_LEAK,SRWF54A,SRWF54B,SRWF54C,SRWF56A,SRWF56C,WF,SRWF56G,SRWF56I,SRWF56K,SYNC,WF_FUEL_LEAK,WF_POS_REF_COMP,WF_PPH,WF_PPH_DELTA,WF_PPH_EST,WF_Q_LEAK,WF_STEP_CNT,WF_STEP_MAX,WF_STEP_MIN,WF_STEP_PPH,WF_STEP_PPH_MOD,WF_STEP_REF_AVG,WF_STEP_REF_COMP,WF_STEP_REF_LIM,WF_STEP_REF_MOD,WF_STEP_REF_UNLIM,WF_STEP_UNCMP_REF,WF_TF_ERR,WF_BASE_CIS,WF_Q_MP,NG,PS3,TFUEL,WF_FSV_LAG,WF_NG_REC,WF_SG_REC,WF_TF_GAIN,WF_TF_GN,WF_TF_LAG,WF_TF_LEAD,WF_TF_LLR,WF_FMU_DP,WF_TF_PMETER,WF_TF_DPFSV,WF_TF_FMU_DP,WF_TF_PBOOST,WF_STEP_FMU_PPH,WF_POS_REF,WF_STEP_COMP_PPH,WF_PPH_EST_L,CMODE,LOCAL_HEALTH,IN_CONTROL,WF_PPH_MIN,WF_PPH_MAX,
0.021705,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,0.5,0,3.11360503345758E-38,3.67700717038832E-42,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.3807506561279,60.6407470703125,1.27000006614253E-04,41.8807525634766,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.033517,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,0,0,3.11697207340766E-38,3.67700717038832E-42,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.3556795120239,60.6407470703125,1.27000006614253E-04,41.8556823730469,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.045531,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,-0.5,0,3.12034668036945E-38,3.67700717038832E-42,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.3627672195435,60.6407470703125,1.27000006614253E-04,41.8627700805664,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.057572,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,-1,0,3.10533288836298E-38,9.55125033283795E-41,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.3680877685547,60.6963043212891,1.27000006614253E-04,41.8680877685547,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.069537,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,0,0,3.10533288836298E-38,9.55125033283795E-41,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.3191251754761,60.6963043212891,1.27000006614253E-04,41.8191223144531,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.081524,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,0.5,0,3.11207061163915E-38,9.55125033283795E-41,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.2768507003784,60.7591705322266,1.27000006614253E-04,41.7768478393555,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.093578,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,0.5,0,3.11545306587234E-38,9.55125033283795E-41,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.2738399505615,60.7662124633789,1.27000006614253E-04,41.7738418579102,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.105646,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,0.5,0,3.11878591413989E-38,9.55125033283795E-41,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.2771492004395,60.7662124633789,1.27000006614253E-04,41.7771453857422,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.117539,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,-0.5,0,-999,-999,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.2746801376343,60.7713966369629,1.27000006614253E-04,41.7746810913086,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
0.129566,0.444917112588882,1000,0,-4.61232137680054,25.4759407043457,1019.01696777344,1016.60369873047,-0.445117354393005,-0.445230424404144,-0.445180594921112,2.40609027959906E-38,0,0,0,3.10713776078503E-38,1.87347999486371E-40,0,5.30774239450693E-03,-47.4197959899902,16099,0,1100,-100,0,-47.391731262207,0,1025.47595214844,0,0,-35.9900016784668,0,0,0,14.3228530883789,60.7713966369629,1.27000006614253E-04,41.8228530883789,0.063000001013279,999.999938964844,-0.444791495800018,9.38807521015406E-03,52.5,30,30,4.00000018998981E-03,2.00000014156103E-02,5,66.9960098266602,-10,5.87897843022028E-38,9.18354961579912E-41,0,-47.4197959899902,0,0,0,0,41.9960098266602,
