time, alt, vknot, gvw, DYNANG, Nmr, Ntr, Nt, N1, N2, N3, Qmr, Qtr, Q1, Q2, Q3, qgas1, qgas2, qgas3, qtotload, qmrload, qtrload
0.18, 3000, 0.01, 46000, 70, 14299, 14349.6, 14341.3, 14340.9, 14340.9, 14340.9, 3593.2, 303.281, 1313.07, 1313, 1313.07, 1330.27, 1330.27, 1330.27, 3741, 3428.01, 312.99,
0.186, 3000, 0.01, 46000, 70, 14300.3, 14348.1, 14341.8, 14341.8, 14341.8, 14341.8, 3600.03, 301.061, 1311.78, 1311.72, 1311.78, 1330.27, 1330.27, 1330.27, 3740.72, 3427.7, 313.018,
0.192, 3000, 0.01, 46000, 70, 14301.7, 14346.4, 14342, 14342.7, 14342.7, 14342.7, 3606.67, 299.405, 1314.02, 1314, 1314.02, 1330.27, 1330.27, 1330.27, 3740.43, 3427.37, 313.051,
0.198, 3000, 0.01, 46000, 70, 14303.1, 14344.6, 14342.8, 14343.5, 14343.5, 14343.5, 3613.18, 298.435, 1317.85, 1317.87, 1317.85, 1330.27, 1330.27, 1330.27, 3740.13, 3427.04, 313.087,
0.204, 3000, 0.01, 46000, 70, 14304.6, 14342.9, 14344, 14344, 14344, 14344, 3619.62, 298.342, 1319.43, 1319.48, 1319.43, 1330.27, 1330.27, 1330.27, 3739.83, 3426.7, 313.126,
0.21, 3000, 0.01, 46000, 70, 14306.1, 14341.2, 14344.5, 14344.6, 14344.6, 14344.6, 3625.96, 299.044, 1319.51, 1319.59, 1319.51, 1330.27, 1330.27, 1330.27, 3739.51, 3426.35, 313.165,
0.216, 3000, 0.01, 46000, 70, 14307.7, 14339.6, 14344.5, 14345.1, 14345.1, 14345.1, 3632.09, 300.31, 1321.31, 1321.38, 1321.31, 1330.27, 1330.27, 1330.27, 3739.19, 3425.98, 313.201,
0.222, 3000, 0.01, 46000, 70, 14309.2, 14338.3, 14344.8, 14345.5, 14345.5, 14345.5, 3637.98, 302.062, 1324.79, 1324.85, 1324.79, 1330.27, 1330.27, 1330.27, 3738.85, 3425.61, 313.235,
0.228, 3000, 0.01, 46000, 70, 14310.9, 14337.1, 14345.4, 14345.7, 14345.7, 14345.7, 3643.68, 304.342, 1327.36, 1327.39, 1327.36, 1330.27, 1330.27, 1330.27, 3738.5, 3425.23, 313.265,
0.234, 3000, 0.01, 46000, 70, 14312.5, 14336.2, 14345.7, 14345.8, 14345.8, 14345.8, 3649.2, 307.069, 1328.43, 1328.42, 1328.43, 1330.27, 1330.27, 1330.27, 3738.14, 3424.85, 313.29,
0.24, 3000, 0.01, 46000, 70, 14314.2, 14335.7, 14345.5, 14345.9, 14345.9, 14345.9, 3654.44, 310.019, 1329.91, 1329.86, 1329.91, 1330.27, 1330.27, 1330.27, 3737.76, 3424.45, 313.309,
0.246, 3000, 0.01, 46000, 70, 14315.9, 14335.4, 14345.3, 14345.8, 14345.8, 14345.8, 3659.38, 313.027, 1332.58, 1332.51, 1332.58, 1330.27, 1330.27, 1330.27, 3737.37, 3424.05, 313.321,
0.252, 3000, 0.01, 46000, 70, 14317.6, 14335.5, 14345.3, 14345.7, 14345.7, 14345.7, 3664.02, 316.047, 1335, 1334.92, 1335, 1330.27, 1330.27, 1330.27, 3736.97, 3423.64, 313.327,
0.258, 3000, 0.01, 46000, 70, 14319.4, 14335.8, 14345.2, 14345.4, 14345.4, 14345.4, 3668.38, 319.009, 1336.18, 1336.12, 1336.18, 1330.27, 1330.27, 1330.27, 3736.55, 3423.23, 313.326,
0.264, 3000, 0.01, 46000, 70, 14321.2, 14336.4, 14344.8, 14345.1, 14345.1, 14345.1, 3672.41, 321.752, 1337.04, 1337.01, 1337.04, 1330.27, 1330.27, 1330.27, 3736.13, 3422.81, 313.319,
0.27, 3000, 0.01, 46000, 70, 14322.9, 14337.3, 14344.3, 14344.7, 14344.7, 14344.7, 3676.08, 324.128, 1338.49, 1338.49, 1338.49, 1330.27, 1330.27, 1330.27, 3735.69, 3422.38, 313.305,
0.276, 3000, 0.01, 46000, 70, 14324.7, 14338.3, 14344, 14344.2, 14344.2, 14344.2, 3679.38, 326.082, 1339.94, 1339.98, 1339.94, 1330.27, 1330.27, 1330.27, 3735.24, 3421.96, 313.287,
0.282, 3000, 0.01, 46000, 70, 14326.6, 14339.5, 14343.7, 14343.7, 14343.7, 14343.7, 3682.34, 327.595, 1340.51, 1340.58, 1340.51, 1330.27, 1330.27, 1330.27, 3734.79, 3421.52, 313.264,
0.288, 3000, 0.01, 46000, 70, 14328.4, 14340.8, 14343.2, 14343.2, 14343.2, 14343.2, 3684.93, 328.603, 1340.49, 1340.57, 1340.49, 1330.27, 1330.27, 1330.27, 3734.33, 3421.09, 313.238,
0.294, 3000, 0.01, 46000, 70, 14330.2, 14342.1, 14342.6, 14342.6, 14342.6, 14342.6, 3687.14, 329.04, 1340.61, 1340.67, 1340.61, 1330.27, 1330.27, 1330.27, 3733.87, 3420.66, 313.21,
0.3, 3000, 0.01, 46000, 70, 14332.1, 14343.4, 14342.1, 14342.1, 14342.1, 14342.1, 3688.96, 328.905, 1340.8, 1340.84, 1340.8, 1330.27, 1330.27, 1330.27, 3733.4, 3420.22, 313.181,
0.306, 3000, 0.01, 46000, 70, 14333.9, 14344.6, 14341.7, 14341.5, 14341.5, 14341.5, 3690.41, 328.246, 1340.47, 1340.47, 1340.47, 1330.27, 1330.27, 1330.27, 3732.93, 3419.78, 313.153,
0.312, 3000, 0.01, 46000, 70, 14335.7, 14345.7, 14341.2, 14341, 14341, 14341, 3691.49, 327.101, 1339.56, 1339.52, 1339.56, 1330.27, 1330.27, 1330.27, 3732.47, 3419.34, 313.126,
0.318, 3000, 0.01, 46000, 70, 14337.6, 14346.7, 14340.8, 14340.6, 14340.6, 14340.6, 3692.2, 325.497, 1338.57, 1338.51, 1338.57, 1330.27, 1330.27, 1330.27, 3732.01, 3418.9, 313.102,
0.324, 3000, 0.01, 46000, 70, 14339.4, 14347.4, 14340.4, 14340.2, 14340.2, 14340.2, 3692.53, 323.495, 1337.68, 1337.6, 1337.68, 1330.27, 1330.27, 1330.27, 3731.55, 3418.47, 313.081,
0.33, 3000, 0.01, 46000, 70, 14341.2, 14348, 14340.1, 14339.8, 14339.8, 14339.8, 3692.52, 321.197, 1336.55, 1336.48, 1336.55, 1330.27, 1330.27, 1330.27, 3731.1, 3418.03, 313.065,
0.336, 3000, 0.01, 46000, 70, 14343, 14348.2, 14339.8, 14339.5, 14339.5, 14339.5, 3692.17, 318.705, 1335.04, 1335, 1335.04, 1330.27, 1330.27, 1330.27, 3730.65, 3417.6, 313.053,
0.342, 3000, 0.01, 46000, 70, 14344.8, 14348.2, 14339.6, 14339.3, 14339.3, 14339.3, 3691.5, 316.104, 1333.44, 1333.43, 1333.44, 1330.27, 1330.27, 1330.27, 3730.22, 3417.17, 313.048,
0.348, 3000, 0.01, 46000, 70, 14346.6, 14347.9, 14339.5, 14339.2, 14339.2, 14339.2, 3690.5, 313.485, 1331.97, 1332, 1331.97, 1330.27, 1330.27, 1330.27, 3729.79, 3416.74, 313.048,
0.354, 3000, 0.01, 46000, 70, 14348.3, 14347.4, 14339.4, 14339.1, 14339.2, 14339.1, 3689.19, 310.958, 1330.52, 1330.59, 1330.52, 1330.27, 1330.27, 1330.27, 3729.37, 3416.32, 313.054,
