time, alt, vknot, gvw, DYNANG, Nmr, Ntr, Nt, N1, N2, N3, Qmr, Qtr, Q1, Q2, Q3, qgas1, qgas2, qgas3, qtotload, qmrload, qtrload
6.57, 3000, 0.01, 46000, 80, 15225.1, 15236.4, 15232.3, 15232.3, 15232.3, 15232.3, 3689.09, 418.975, 1366.18, 1366.12, 1366.18, 1330.27, 1330.27, 1330.27, 4337.46, 3947.44, 390.021,
6.576, 3000, 0.01, 46000, 80, 15223.4, 15234.2, 15230.4, 15230.4, 15230.4, 15230.4, 3690.25, 417.773, 1366.12, 1366.1, 1366.12, 1330.27, 1330.27, 1330.27, 4337.95, 3947.88, 390.072,
6.582, 3000, 0.01, 46000, 80, 15221.7, 15232, 15228.6, 15228.6, 15228.6, 15228.6, 3691.38, 416.671, 1366.08, 1366.1, 1366.08, 1330.27, 1330.27, 1330.27, 4338.44, 3948.31, 390.127,
6.588, 3000, 0.01, 46000, 80, 15220.1, 15229.7, 15226.7, 15226.7, 15226.7, 15226.7, 3692.48, 415.698, 1366.08, 1366.13, 1366.08, 1330.27, 1330.27, 1330.27, 4338.93, 3948.74, 390.184,
6.594, 3000, 0.01, 46000, 80, 15218.4, 15227.3, 15224.9, 15224.9, 15224.9, 15224.9, 3693.55, 414.881, 1366.12, 1366.19, 1366.12, 1330.27, 1330.27, 1330.27, 4339.42, 3949.17, 390.244,
6.6, 3000, 0.01, 46000, 80, 15216.7, 15224.8, 15223, 15223, 15223, 15223, 3694.59, 414.239, 1366.21, 1366.29, 1366.21, 1330.27, 1330.27, 1330.27, 4339.91, 3949.6, 390.306,
6.606, 3000, 0.01, 46000, 80, 15215.1, 15222.3, 15221.1, 15221.2, 15221.2, 15221.2, 3695.59, 413.786, 1366.36, 1366.41, 1366.36, 1330.27, 1330.27, 1330.27, 4340.4, 3950.03, 390.369,
6.612, 3000, 0.01, 46000, 80, 15213.4, 15219.8, 15219.2, 15219.3, 15219.3, 15219.3, 3696.55, 413.529, 1366.55, 1366.58, 1366.55, 1330.27, 1330.27, 1330.27, 4340.9, 3950.46, 390.433,
6.618, 3000, 0.01, 46000, 80, 15211.8, 15217.2, 15217.4, 15217.4, 15217.4, 15217.4, 3697.48, 413.468, 1366.79, 1366.78, 1366.79, 1330.27, 1330.27, 1330.27, 4341.39, 3950.89, 390.498,
6.624, 3000, 0.01, 46000, 80, 15210.1, 15214.7, 15215.4, 15215.5, 15215.5, 15215.5, 3698.37, 413.597, 1367.07, 1367.02, 1367.07, 1330.27, 1330.27, 1330.27, 4341.88, 3951.32, 390.563,
6.63, 3000, 0.01, 46000, 80, 15208.5, 15212.3, 15213.5, 15213.6, 15213.6, 15213.6, 3699.21, 413.903, 1367.38, 1367.31, 1367.38, 1330.27, 1330.27, 1330.27, 4342.38, 3951.75, 390.627,
6.636, 3000, 0.01, 46000, 80, 15206.8, 15209.8, 15211.6, 15211.7, 15211.7, 15211.7, 3700.01, 414.369, 1367.71, 1367.64, 1367.71, 1330.27, 1330.27, 1330.27, 4342.87, 3952.18, 390.69,
6.642, 3000, 0.01, 46000, 80, 15205.2, 15207.5, 15209.7, 15209.7, 15209.7, 15209.7, 3700.75, 414.972, 1368.05, 1367.99, 1368.05, 1330.27, 1330.27, 1330.27, 4343.36, 3952.6, 390.752,
6.648, 3000, 0.01, 46000, 80, 15203.6, 15205.2, 15207.7, 15207.8, 15207.8, 15207.8, 3701.45, 415.685, 1368.4, 1368.37, 1368.4, 1330.27, 1330.27, 1330.27, 4343.84, 3953.03, 390.813,
6.654, 3000, 0.01, 46000, 80, 15201.9, 15203, 15205.7, 15205.8, 15205.8, 15205.8, 3702.1, 416.479, 1368.74, 1368.75, 1368.74, 1330.27, 1330.27, 1330.27, 4344.33, 3953.46, 390.871,
6.66, 3000, 0.01, 46000, 80, 15200.3, 15200.9, 15203.7, 15203.8, 15203.8, 15203.8, 3702.69, 417.321, 1369.07, 1369.11, 1369.07, 1330.27, 1330.27, 1330.27, 4344.81, 3953.89, 390.928,
6.666, 3000, 0.01, 46000, 80, 15198.6, 15198.9, 15201.7, 15201.8, 15201.8, 15201.8, 3703.22, 418.18, 1369.39, 1369.45, 1369.39, 1330.27, 1330.27, 1330.27, 4345.3, 3954.31, 390.982,
6.672, 3000, 0.01, 46000, 80, 15197, 15197, 15199.7, 15199.7, 15199.7, 15199.7, 3703.69, 419.024, 1369.68, 1369.75, 1369.68, 1330.27, 1330.27, 1330.27, 4345.78, 3954.74, 391.034,
6.678, 3000, 0.01, 46000, 80, 15195.3, 15195.1, 15197.6, 15197.7, 15197.7, 15197.7, 3704.1, 419.822, 1369.93, 1369.99, 1369.93, 1330.27, 1330.27, 1330.27, 4346.25, 3955.17, 391.083,
6.684, 3000, 0.01, 46000, 80, 15193.7, 15193.4, 15195.6, 15195.6, 15195.6, 15195.6, 3704.44, 420.546, 1370.15, 1370.18, 1370.15, 1330.27, 1330.27, 1330.27, 4346.73, 3955.6, 391.131,
6.69, 3000, 0.01, 46000, 80, 15192, 15191.7, 15193.5, 15193.6, 15193.6, 15193.6, 3704.72, 421.171, 1370.31, 1370.31, 1370.31, 1330.27, 1330.27, 1330.27, 4347.21, 3956.03, 391.176,
6.696, 3000, 0.01, 46000, 80, 15190.4, 15190, 15191.5, 15191.5, 15191.5, 15191.5, 3704.94, 421.678, 1370.42, 1370.38, 1370.42, 1330.27, 1330.27, 1330.27, 4347.68, 3956.46, 391.22,
6.702, 3000, 0.01, 46000, 80, 15188.7, 15188.4, 15189.4, 15189.4, 15189.4, 15189.4, 3705.09, 422.05, 1370.46, 1370.4, 1370.46, 1330.27, 1330.27, 1330.27, 4348.16, 3956.89, 391.262,
6.708, 3000, 0.01, 46000, 80, 15187, 15186.8, 15187.3, 15187.3, 15187.3, 15187.3, 3705.17, 422.277, 1370.44, 1370.36, 1370.44, 1330.27, 1330.27, 1330.27, 4348.63, 3957.33, 391.303,
6.714, 3000, 0.01, 46000, 80, 15185.4, 15185.3, 15185.3, 15185.3, 15185.3, 15185.3, 3705.19, 422.354, 1370.34, 1370.28, 1370.34, 1330.27, 1330.27, 1330.27, 4349.1, 3957.76, 391.344,
6.72, 3000, 0.01, 46000, 80, 15183.7, 15183.7, 15183.2, 15183.2, 15183.2, 15183.2, 3705.14, 422.282, 1370.18, 1370.14, 1370.18, 1330.27, 1330.27, 1330.27, 4349.58, 3958.2, 391.385,
6.726, 3000, 0.01, 46000, 80, 15182, 15182.1, 15181.2, 15181.1, 15181.1, 15181.1, 3705.04, 422.065, 1369.96, 1369.96, 1369.96, 1330.27, 1330.27, 1330.27, 4350.06, 3958.63, 391.425,
6.732, 3000, 0.01, 46000, 80, 15180.3, 15180.5, 15179.1, 15179.1, 15179.1, 15179.1, 3704.87, 421.716, 1369.69, 1369.73, 1369.69, 1330.27, 1330.27, 1330.27, 4350.54, 3959.07, 391.466,
6.738, 3000, 0.01, 46000, 80, 15178.6, 15178.8, 15177.1, 15177.1, 15177.1, 15177.1, 3704.66, 421.25, 1369.38, 1369.44, 1369.38, 1330.27, 1330.27, 1330.27, 4351.02, 3959.51, 391.508,
6.744, 3000, 0.01, 46000, 80, 15176.9, 15177.1, 15175.1, 15175, 15175, 15175, 3704.38, 420.685, 1369.04, 1369.11, 1369.04, 1330.27, 1330.27, 1330.27, 4351.5, 3959.95, 391.551,
6.75, 3000, 0.01, 46000, 80, 15175.2, 15175.3, 15173.1, 15173, 15173, 15173, 3704.07, 420.045, 1368.68, 1368.74, 1368.68, 1330.27, 1330.27, 1330.27, 4351.99, 3960.4, 391.596,
6.756, 3000, 0.01, 46000, 80, 15173.5, 15173.5, 15171.1, 15171.1, 15171.1, 15171.1, 3703.7, 419.354, 1368.3, 1368.35, 1368.3, 1330.27, 1330.27, 1330.27, 4352.48, 3960.84, 391.642,
6.762, 3000, 0.01, 46000, 80, 15171.8, 15171.5, 15169.2, 15169.1, 15169.1, 15169.1, 3703.3, 418.638, 1367.92, 1367.93, 1367.92, 1330.27, 1330.27, 1330.27, 4352.98, 3961.29, 391.69,
6.768, 3000, 0.01, 46000, 80, 15170.1, 15169.5, 15167.2, 15167.2, 15167.2, 15167.2, 3702.86, 417.923, 1367.54, 1367.52, 1367.54, 1330.27, 1330.27, 1330.27, 4353.48, 3961.74, 391.739,
6.774, 3000, 0.01, 46000, 80, 15168.3, 15167.5, 15165.3, 15165.2, 15165.2, 15165.2, 3702.38, 417.237, 1367.17, 1367.11, 1367.17, 1330.27, 1330.27, 1330.27, 4353.98, 3962.19, 391.79,
6.78, 3000, 0.01, 46000, 80, 15166.6, 15165.4, 15163.4, 15163.3, 15163.3, 15163.3, 3701.88, 416.602, 1366.81, 1366.74, 1366.81, 1330.27, 1330.27, 1330.27, 4354.49, 3962.64, 391.843,
6.786, 3000, 0.01, 46000, 80, 15164.8, 15163.2, 15161.5, 15161.5, 15161.5, 15161.5, 3701.35, 416.042, 1366.47, 1366.4, 1366.47, 1330.27, 1330.27, 1330.27, 4354.99, 3963.1, 391.898,
6.792, 3000, 0.01, 46000, 80, 15163.1, 15161, 15159.7, 15159.6, 15159.6, 15159.6, 3700.81, 415.576, 1366.15, 1366.11, 1366.15, 1330.27, 1330.27, 1330.27, 4355.51, 3963.55, 391.954,
6.798, 3000, 0.01, 46000, 80, 15161.3, 15158.8, 15157.8, 15157.8, 15157.8, 15157.8, 3700.24, 415.22, 1365.87, 1365.85, 1365.87, 1330.27, 1330.27, 1330.27, 4356.02, 3964.01, 392.011,
6.804, 3000, 0.01, 46000, 80, 15159.5, 15156.5, 15156, 15155.9, 15155.9, 15155.9, 3699.67, 414.986, 1365.62, 1365.64, 1365.62, 1330.27, 1330.27, 1330.27, 4356.54, 3964.47, 392.069,
6.81, 3000, 0.01, 46000, 80, 15157.8, 15154.3, 15154.1, 15154.1, 15154.1, 15154.1, 3699.08, 414.88, 1365.41, 1365.47, 1365.41, 1330.27, 1330.27, 1330.27, 4357.06, 3964.94, 392.127,
6.816, 3000, 0.01, 46000, 80, 15156, 15152, 15152.3, 15152.3, 15152.3, 15152.3, 3698.48, 414.906, 1365.25, 1365.32, 1365.25, 1330.27, 1330.27, 1330.27, 4357.59, 3965.4, 392.186,
6.822, 3000, 0.01, 46000, 80, 15154.2, 15149.8, 15150.5, 15150.5, 15150.5, 15150.5, 3697.88, 415.062, 1365.14, 1365.21, 1365.14, 1330.27, 1330.27, 1330.27, 4358.11, 3965.87, 392.244,
6.828, 3000, 0.01, 46000, 80, 15152.4, 15147.6, 15148.7, 15148.7, 15148.7, 15148.7, 3697.28, 415.341, 1365.07, 1365.12, 1365.07, 1330.27, 1330.27, 1330.27, 4358.64, 3966.34, 392.302,
6.834, 3000, 0.01, 46000, 80, 15150.6, 15145.4, 15146.9, 15146.9, 15146.9, 15146.9, 3696.68, 415.734, 1365.04, 1365.05, 1365.04, 1330.27, 1330.27, 1330.27, 4359.17, 3966.81, 392.359,
6.84, 3000, 0.01, 46000, 80, 15148.8, 15143.3, 15145.1, 15145.1, 15145.1, 15145.1, 3696.08, 416.226, 1365.04, 1365.01, 1365.04, 1330.27, 1330.27, 1330.27, 4359.7, 3967.28, 392.414,
6.846, 3000, 0.01, 46000, 80, 15147, 15141.3, 15143.3, 15143.3, 15143.3, 15143.3, 3695.48, 416.799, 1365.06, 1365.01, 1365.06, 1330.27, 1330.27, 1330.27, 4360.22, 3967.76, 392.469,
6.852, 3000, 0.01, 46000, 80, 15145.1, 15139.3, 15141.5, 15141.5, 15141.5, 15141.5, 3694.88, 417.435, 1365.09, 1365.02, 1365.09, 1330.27, 1330.27, 1330.27, 4360.75, 3968.23, 392.522,
6.858, 3000, 0.01, 46000, 80, 15143.3, 15137.4, 15139.7, 15139.7, 15139.7, 15139.7, 3694.29, 418.111, 1365.13, 1365.06, 1365.13, 1330.27, 1330.27, 1330.27, 4361.28, 3968.71, 392.573,
6.864, 3000, 0.01, 46000, 80, 15141.4, 15135.6, 15137.9, 15137.9, 15137.9, 15137.9, 3693.7, 418.805, 1365.17, 1365.12, 1365.17, 1330.27, 1330.27, 1330.27, 4361.81, 3969.19, 392.622,
6.87, 3000, 0.01, 46000, 80, 15139.6, 15133.8, 15136.1, 15136.1, 15136.1, 15136.1, 3693.12, 419.495, 1365.2, 1365.18, 1365.2, 1330.27, 1330.27, 1330.27, 4362.34, 3969.68, 392.669,
6.876, 3000, 0.01, 46000, 80, 15137.7, 15132.2, 15134.3, 15134.3, 15134.3, 15134.3, 3692.55, 420.158, 1365.23, 1365.24, 1365.23, 1330.27, 1330.27, 1330.27, 4362.87, 3970.16, 392.715,
6.882, 3000, 0.01, 46000, 80, 15135.9, 15130.5, 15132.5, 15132.5, 15132.5, 15132.5, 3691.99, 420.773, 1365.24, 1365.29, 1365.24, 1330.27, 1330.27, 1330.27, 4363.4, 3970.65, 392.758,
6.888, 3000, 0.01, 46000, 80, 15134, 15129, 15130.6, 15130.6, 15130.6, 15130.6, 3691.43, 421.321, 1365.23, 1365.3, 1365.23, 1330.27, 1330.27, 1330.27, 4363.93, 3971.13, 392.8,
6.894, 3000, 0.01, 46000, 80, 15132.1, 15127.5, 15128.8, 15128.8, 15128.8, 15128.8, 3690.89, 421.787, 1365.21, 1365.28, 1365.21, 1330.27, 1330.27, 1330.27, 4364.47, 3971.62, 392.841,
6.9, 3000, 0.01, 46000, 80, 15130.3, 15126, 15127, 15127, 15127, 15127, 3690.36, 422.156, 1365.18, 1365.23, 1365.18, 1330.27, 1330.27, 1330.27, 4365, 3972.12, 392.88,
6.906, 3000, 0.01, 46000, 80, 15128.4, 15124.6, 15125.2, 15125.2, 15125.2, 15125.2, 3689.84, 422.42, 1365.12, 1365.14, 1365.12, 1330.27, 1330.27, 1330.27, 4365.53, 3972.61, 392.918,
6.912, 3000, 0.01, 46000, 80, 15126.5, 15123.1, 15123.4, 15123.4, 15123.4, 15123.4, 3689.34, 422.572, 1365.03, 1365.02, 1365.03, 1330.27, 1330.27, 1330.27, 4366.06, 3973.11, 392.956,
6.918, 3000, 0.01, 46000, 80, 15124.6, 15121.7, 15121.7, 15121.6, 15121.6, 15121.6, 3688.85, 422.61, 1364.92, 1364.87, 1364.92, 1330.27, 1330.27, 1330.27, 4366.6, 3973.6, 392.993,
6.924, 3000, 0.01, 46000, 80, 15122.7, 15120.3, 15119.9, 15119.8, 15119.8, 15119.8, 3688.39, 422.536, 1364.78, 1364.71, 1364.78, 1330.27, 1330.27, 1330.27, 4367.13, 3974.1, 393.03,
6.93, 3000, 0.01, 46000, 80, 15120.8, 15118.9, 15118.1, 15118.1, 15118.1, 15118.1, 3687.94, 422.354, 1364.61, 1364.54, 1364.61, 1330.27, 1330.27, 1330.27, 4367.67, 3974.6, 393.067,
6.936, 3000, 0.01, 46000, 80, 15118.8, 15117.4, 15116.3, 15116.3, 15116.3, 15116.3, 3687.52, 422.075, 1364.42, 1364.36, 1364.42, 1330.27, 1330.27, 1330.27, 4368.21, 3975.11, 393.104,
6.942, 3000, 0.01, 46000, 80, 15116.9, 15115.9, 15114.6, 15114.5, 15114.5, 15114.5, 3687.12, 421.709, 1364.21, 1364.18, 1364.21, 1330.27, 1330.27, 1330.27, 4368.75, 3975.61, 393.142,
6.948, 3000, 0.01, 46000, 80, 15115, 15114.4, 15112.8, 15112.8, 15112.8, 15112.8, 3686.75, 421.271, 1363.99, 1364, 1363.99, 1330.27, 1330.27, 1330.27, 4369.3, 3976.11, 393.181,
6.954, 3000, 0.01, 46000, 80, 15113.1, 15112.8, 15111.1, 15111, 15111, 15111, 3686.41, 420.778, 1363.77, 1363.82, 1363.77, 1330.27, 1330.27, 1330.27, 4369.84, 3976.62, 393.221,
6.96, 3000, 0.01, 46000, 80, 15111.1, 15111.1, 15109.3, 15109.3, 15109.3, 15109.3, 3686.1, 420.246, 1363.56, 1363.63, 1363.56, 1330.27, 1330.27, 1330.27, 4370.39, 3977.13, 393.262,
6.966, 3000, 0.01, 46000, 80, 15109.2, 15109.4, 15107.6, 15107.6, 15107.6, 15107.6, 3685.83, 419.696, 1363.37, 1363.44, 1363.37, 1330.27, 1330.27, 1330.27, 4370.94, 3977.64, 393.305,
6.972, 3000, 0.01, 46000, 80, 15107.3, 15107.7, 15105.9, 15105.9, 15105.9, 15105.9, 3685.6, 419.144, 1363.2, 1363.25, 1363.2, 1330.27, 1330.27, 1330.27, 4371.5, 3978.15, 393.349,
6.978, 3000, 0.01, 46000, 80, 15105.3, 15105.9, 15104.2, 15104.2, 15104.2, 15104.2, 3685.4, 418.61, 1363.05, 1363.08, 1363.05, 1330.27, 1330.27, 1330.27, 4372.06, 3978.66, 393.394,
6.984, 3000, 0.01, 46000, 80, 15103.4, 15104.1, 15102.5, 15102.5, 15102.5, 15102.5, 3685.24, 418.11, 1362.94, 1362.93, 1362.94, 1330.27, 1330.27, 1330.27, 4372.62, 3979.17, 393.441,
6.99, 3000, 0.01, 46000, 80, 15101.4, 15102.2, 15100.8, 15100.8, 15100.8, 15100.8, 3685.12, 417.66, 1362.85, 1362.81, 1362.85, 1330.27, 1330.27, 1330.27, 4373.18, 3979.69, 393.489,
6.996, 3000, 0.01, 46000, 80, 15099.4, 15100.3, 15099.1, 15099.1, 15099.1, 15099.1, 3685.05, 417.271, 1362.8, 1362.74, 1362.8, 1330.27, 1330.27, 1330.27, 4373.74, 3980.2, 393.538,
7.002, 3000, 0.01, 46000, 80, 15097.5, 15098.3, 15097.4, 15097.4, 15097.4, 15097.4, 3685.02, 416.956, 1362.78, 1362.71, 1362.78, 1330.27, 1330.27, 1330.27, 4374.31, 3980.72, 393.588,
7.008, 3000, 0.01, 46000, 80, 15095.5, 15096.4, 15095.8, 15095.8, 15095.8, 15095.8, 3685.04, 416.721, 1362.79, 1362.73, 1362.79, 1330.27, 1330.27, 1330.27, 4374.87, 3981.23, 393.638,
7.014, 3000, 0.01, 46000, 80, 15093.6, 15094.4, 15094.1, 15094.1, 15094.1, 15094.1, 3685.1, 416.57, 1362.83, 1362.8, 1362.83, 1330.27, 1330.27, 1330.27, 4375.44, 3981.75, 393.689,
7.02, 3000, 0.01, 46000, 80, 15091.6, 15092.4, 15092.4, 15092.4, 15092.4, 15092.4, 3685.2, 416.505, 1362.91, 1362.91, 1362.91, 1330.27, 1330.27, 1330.27, 4376.01, 3982.27, 393.741,
7.026, 3000, 0.01, 46000, 80, 15089.6, 15090.5, 15090.7, 15090.7, 15090.7, 15090.7, 3685.35, 416.524, 1363.03, 1363.06, 1363.03, 1330.27, 1330.27, 1330.27, 4376.58, 3982.79, 393.792,
7.032, 3000, 0.01, 46000, 80, 15087.7, 15088.5, 15089, 15089, 15089, 15089, 3685.54, 416.621, 1363.18, 1363.24, 1363.18, 1330.27, 1330.27, 1330.27, 4377.15, 3983.31, 393.843,
7.038, 3000, 0.01, 46000, 80, 15085.7, 15086.6, 15087.3, 15087.3, 15087.3, 15087.3, 3685.77, 416.789, 1363.37, 1363.44, 1363.37, 1330.27, 1330.27, 1330.27, 4377.72, 3983.82, 393.894,
7.044, 3000, 0.01, 46000, 80, 15083.7, 15084.7, 15085.5, 15085.6, 15085.6, 15085.6, 3686.04, 417.019, 1363.58, 1363.65, 1363.58, 1330.27, 1330.27, 1330.27, 4378.29, 3984.34, 393.945,
7.05, 3000, 0.01, 46000, 80, 15081.8, 15082.8, 15083.8, 15083.8, 15083.8, 15083.8, 3686.35, 417.297, 1363.83, 1363.87, 1363.83, 1330.27, 1330.27, 1330.27, 4378.86, 3984.86, 393.994,
7.056, 3000, 0.01, 46000, 80, 15079.8, 15081, 15082, 15082.1, 15082.1, 15082.1, 3686.7, 417.609, 1364.1, 1364.1, 1364.1, 1330.27, 1330.27, 1330.27, 4379.43, 3985.38, 394.043,
7.062, 3000, 0.01, 46000, 80, 15077.8, 15079.2, 15080.3, 15080.3, 15080.3, 15080.3, 3687.08, 417.942, 1364.37, 1364.34, 1364.37, 1330.27, 1330.27, 1330.27, 4379.99, 3985.9, 394.091,
7.068, 3000, 0.01, 46000, 80, 15075.9, 15077.4, 15078.5, 15078.6, 15078.6, 15078.6, 3687.49, 418.279, 1364.65, 1364.59, 1364.65, 1330.27, 1330.27, 1330.27, 4380.56, 3986.42, 394.138,
7.074, 3000, 0.01, 46000, 80, 15073.9, 15075.7, 15076.7, 15076.8, 15076.8, 15076.8, 3687.94, 418.606, 1364.92, 1364.85, 1364.92, 1330.27, 1330.27, 1330.27, 4381.13, 3986.94, 394.184,
7.08, 3000, 0.01, 46000, 80, 15071.9, 15074, 15074.9, 15075, 15075, 15075, 3688.41, 418.907, 1365.19, 1365.12, 1365.19, 1330.27, 1330.27, 1330.27, 4381.69, 3987.46, 394.229,
7.086, 3000, 0.01, 46000, 80, 15070, 15072.4, 15073.1, 15073.2, 15073.2, 15073.2, 3688.91, 419.169, 1365.43, 1365.39, 1365.43, 1330.27, 1330.27, 1330.27, 4382.26, 3987.98, 394.273,
7.092, 3000, 0.01, 46000, 80, 15068, 15070.7, 15071.3, 15071.4, 15071.4, 15071.4, 3689.44, 419.381, 1365.66, 1365.66, 1365.66, 1330.27, 1330.27, 1330.27, 4382.82, 3988.5, 394.317,
7.098, 3000, 0.01, 46000, 80, 15066.1, 15069.1, 15069.5, 15069.5, 15069.5, 15069.5, 3689.98, 419.53, 1365.88, 1365.91, 1365.88, 1330.27, 1330.27, 1330.27, 4383.38, 3989.02, 394.36,
7.104, 3000, 0.01, 46000, 80, 15064.1, 15067.5, 15067.6, 15067.7, 15067.7, 15067.7, 3690.55, 419.611, 1366.08, 1366.13, 1366.08, 1330.27, 1330.27, 1330.27, 4383.94, 3989.54, 394.402,
7.11, 3000, 0.01, 46000, 80, 15062.1, 15065.9, 15065.8, 15065.8, 15065.8, 15065.8, 3691.14, 419.617, 1366.26, 1366.33, 1366.26, 1330.27, 1330.27, 1330.27, 4384.5, 3990.06, 394.444,
7.116, 3000, 0.01, 46000, 80, 15060.2, 15064.3, 15063.9, 15063.9, 15063.9, 15063.9, 3691.74, 419.546, 1366.43, 1366.49, 1366.43, 1330.27, 1330.27, 1330.27, 4385.07, 3990.58, 394.486,
7.122, 3000, 0.01, 46000, 80, 15058.2, 15062.7, 15062, 15062.1, 15062.1, 15062.1, 3692.35, 419.396, 1366.58, 1366.62, 1366.58, 1330.27, 1330.27, 1330.27, 4385.63, 3991.1, 394.528,
7.128, 3000, 0.01, 46000, 80, 15056.3, 15061, 15060.2, 15060.2, 15060.2, 15060.2, 3692.98, 419.172, 1366.72, 1366.73, 1366.72, 1330.27, 1330.27, 1330.27, 4386.19, 3991.62, 394.571,
7.134, 3000, 0.01, 46000, 80, 15054.3, 15059.4, 15058.3, 15058.3, 15058.3, 15058.3, 3693.63, 418.877, 1366.83, 1366.81, 1366.83, 1330.27, 1330.27, 1330.27, 4386.75, 3992.14, 394.614,
7.14, 3000, 0.01, 46000, 80, 15052.3, 15057.7, 15056.4, 15056.4, 15056.4, 15056.4, 3694.28, 418.519, 1366.94, 1366.88, 1366.94, 1330.27, 1330.27, 1330.27, 4387.31, 3992.66, 394.657,
7.146, 3000, 0.01, 46000, 80, 15050.4, 15055.9, 15054.5, 15054.5, 15054.5, 15054.5, 3694.94, 418.107, 1367.02, 1366.95, 1367.02, 1330.27, 1330.27, 1330.27, 4387.88, 3993.17, 394.702,
7.152, 3000, 0.01, 46000, 80, 15048.4, 15054.1, 15052.6, 15052.6, 15052.6, 15052.6, 3695.61, 417.652, 1367.09, 1367.02, 1367.09, 1330.27, 1330.27, 1330.27, 4388.44, 3993.69, 394.747,
7.158, 3000, 0.01, 46000, 80, 15046.5, 15052.3, 15050.7, 15050.7, 15050.7, 15050.7, 3696.29, 417.166, 1367.14, 1367.1, 1367.14, 1330.27, 1330.27, 1330.27, 4389.01, 3994.21, 394.794,
7.164, 3000, 0.01, 46000, 80, 15044.5, 15050.4, 15048.8, 15048.8, 15048.8, 15048.8, 3696.98, 416.661, 1367.19, 1367.18, 1367.19, 1330.27, 1330.27, 1330.27, 4389.57, 3994.73, 394.842,
7.17, 3000, 0.01, 46000, 80, 15042.6, 15048.5, 15046.9, 15046.9, 15046.9, 15046.9, 3697.68, 416.152, 1367.24, 1367.26, 1367.24, 1330.27, 1330.27, 1330.27, 4390.14, 3995.25, 394.891,
7.176, 3000, 0.01, 46000, 80, 15040.6, 15046.6, 15045, 15045, 15045, 15045, 3698.38, 415.651, 1367.3, 1367.35, 1367.3, 1330.27, 1330.27, 1330.27, 4390.71, 3995.76, 394.941,
7.182, 3000, 0.01, 46000, 80, 15038.7, 15044.6, 15043, 15043, 15043.1, 15043, 3699.08, 415.171, 1367.37, 1367.44, 1367.37, 1330.27, 1330.27, 1330.27, 4391.27, 3996.28, 394.993,
7.188, 3000, 0.01, 46000, 80, 15036.7, 15042.5, 15041.1, 15041.1, 15041.1, 15041.1, 3699.79, 414.723, 1367.45, 1367.52, 1367.45, 1330.27, 1330.27, 1330.27, 4391.84, 3996.8, 395.045,
7.194, 3000, 0.01, 46000, 80, 15034.8, 15040.4, 15039.2, 15039.2, 15039.2, 15039.2, 3700.5, 414.317, 1367.56, 1367.61, 1367.56, 1330.27, 1330.27, 1330.27, 4392.41, 3997.32, 395.099,
7.2, 3000, 0.01, 46000, 80, 15032.9, 15038.3, 15037.2, 15037.3, 15037.3, 15037.3, 3701.21, 413.963, 1367.68, 1367.7, 1367.68, 1330.27, 1330.27, 1330.27, 4392.99, 3997.83, 395.154,
7.206, 3000, 0.01, 46000, 80, 15030.9, 15036.2, 15035.3, 15035.3, 15035.3, 15035.3, 3701.92, 413.666, 1367.83, 1367.81, 1367.83, 1330.27, 1330.27, 1330.27, 4393.56, 3998.35, 395.21,
7.212, 3000, 0.01, 46000, 80, 15029, 15034, 15033.4, 15033.4, 15033.4, 15033.4, 3702.63, 413.432, 1367.98, 1367.94, 1367.98, 1330.27, 1330.27, 1330.27, 4394.13, 3998.86, 395.266,
7.218, 3000, 0.01, 46000, 80, 15027, 15031.8, 15031.4, 15031.4, 15031.4, 15031.4, 3703.34, 413.263, 1368.16, 1368.09, 1368.16, 1330.27, 1330.27, 1330.27, 4394.7, 3999.38, 395.323,
7.224, 3000, 0.01, 46000, 80, 15025.1, 15029.7, 15029.4, 15029.5, 15029.5, 15029.5, 3704.05, 413.159, 1368.34, 1368.27, 1368.34, 1330.27, 1330.27, 1330.27, 4395.28, 3999.9, 395.38,
7.23, 3000, 0.01, 46000, 80, 15023.2, 15027.5, 15027.5, 15027.5, 15027.5, 15027.5, 3704.75, 413.117, 1368.52, 1368.47, 1368.52, 1330.27, 1330.27, 1330.27, 4395.85, 4000.41, 395.437,
7.236, 3000, 0.01, 46000, 80, 15021.2, 15025.3, 15025.5, 15025.5, 15025.5, 15025.5, 3705.44, 413.135, 1368.72, 1368.7, 1368.72, 1330.27, 1330.27, 1330.27, 4396.42, 4000.93, 395.494,
7.242, 3000, 0.01, 46000, 80, 15019.3, 15023.2, 15023.5, 15023.5, 15023.5, 15023.5, 3706.12, 413.206, 1368.92, 1368.94, 1368.92, 1330.27, 1330.27, 1330.27, 4396.99, 4001.44, 395.551,
7.248, 3000, 0.01, 46000, 80, 15017.4, 15021, 15021.5, 15021.5, 15021.5, 15021.5, 3706.8, 413.322, 1369.13, 1369.18, 1369.13, 1330.27, 1330.27, 1330.27, 4397.57, 4001.96, 395.608,
7.254, 3000, 0.01, 46000, 80, 15015.4, 15018.9, 15019.4, 15019.5, 15019.5, 15019.5, 3707.46, 413.474, 1369.35, 1369.42, 1369.35, 1330.27, 1330.27, 1330.27, 4398.14, 4002.47, 395.664,
